gate_id,phase,gate,hard_blocker,owner,evidence_required,pass_rule
G00,Strategy,Project charter approved,Yes,Owner,"Signed charter: audience; business goal; scope; exclusions; risk class; success metrics","All fields present and no unresolved scope conflict"
G01,Research,Keyword and entity evidence complete,Yes,Owner + ChatGPT,"Keyword set; entity list; intent clusters; source log; freshness dates","Every planned page maps to evidence and a distinct primary intent"
G02,Architecture,Topical map and URL registry frozen,Yes,Owner + ChatGPT,"Page registry; hub map; role matrix; cannibalization review","Every indexable URL has one role; parent; canonical intent; and unique promise"
G03,Trust,Publisher and editorial trust ready,Yes,Owner,"About; editorial policy; author/editor profiles; contact; privacy; corrections policy","All pages render; identities are accurate; credentials are not overstated"
G04,Design,Design system and template contracts approved,Yes,Owner + ChatGPT,"Tokens; components; page-type contract; responsive screenshots","All page types pass desktop; tablet; mobile; dark-mode where supported"
G05,Content,Content inventory complete,Yes,Owner + ChatGPT,"Page briefs; final copy; source citations; review status; dates","No placeholder/editorial tokens; every page meets its Definition of Done"
G06,Media,Media manifest complete,Yes,Owner + ChatGPT,"Page-to-image manifest; checksums; dimensions; alt; caption; credit; previews","No missing; duplicate; placeholder; wrong-page; crop; or letterbox failures"
G07,SEO,Technical SEO contracts pass,Yes,ChatGPT,"Automated report for title; meta; canonical; robots; sitemap; H1; schema; OG/X","Zero critical failures; all exceptions documented and approved"
G08,Links,Semantic graph passes,Yes,ChatGPT,"Link graph; orphan/dead-end list; edge reasons; hub/tool reciprocity","Zero unexplained broken links; orphans; dead ends; or forced semantic links"
G09,Tools,Tools and onsite search pass,Yes,ChatGPT,"Functional tests; accessibility checks; query smoke fixtures; safety tests","All critical workflows and must/must-not search assertions pass"
G10,Build,Clean reproducible build passes,Yes,ChatGPT,"Clean-checkout build log; dependency lock; forbidden-pattern scan; diff scope","Same inputs create equivalent output; no machine-specific paths or missing sources"
G11,Security,Security and privacy pass,Yes,Owner + ChatGPT,"Secret scan; external-script inventory; forms/privacy review; headers report","No exposed secret; unapproved tracker; insecure endpoint; or privacy blocker"
G12,Preview,GitHub candidate and Cloudflare preview pass,Yes,Owner + ChatGPT,"PR; CI logs; preview URL; screenshot matrix; representative route checks","All checks green; expected diff only; preview approved by owner"
G13,Production,Production promotion and live verification pass,Yes,Owner + ChatGPT,"Main SHA; Cloudflare deployment ID; HTTPS; live 200s; robots; sitemap; schema; analytics","Live site matches approved candidate and all public checks pass"
G14,Rollback,Rollback and recovery are proven,Yes,Owner + ChatGPT,"Previous deployment/SHA; rollback steps; backup/export; incident contact","A tested or dry-run rollback can restore the previous release"
G15,Postlaunch,Monitoring and change control active,No,Owner + ChatGPT,"Search Console/analytics checks; uptime; issue log; review calendar","Owners and dates are assigned; critical alerts have an action path"
