url,source_file,source_sha256,editor,status,candidate_date,approved_date,approval_evidence,notes
/care/tank-setup/,content/pages/tank-setup.json,a126c44454e777ecf4db7eea200daea2bb69b910f731dcebabe7cc314e4026d6,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/maintenance/water-change/,content/pages/water-change.json,0f362d7c5e469ab9a7d68ca8044c3ec3654cbe7fabeb0c07dbd742ef53d52194,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/care/indian-almond-leaves/,content/pages/indian-almond-leaves.json,5fe94f4cb44acdb34083b9b46b47af0ded310be6cd8f2939def5b17f62275637,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/care/heaters-calibration/,content/pages/heaters-calibration.json,b6574ccb18abc0bb4a45cab85945b1a02cc35ec84081b9cc6121db19e7207951,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/aquascaping/fin-safe-plants/,content/pages/fin-safe-plants.json,dddb908e902e95c8bf81803aa98c70e50d67b09bc8490c04a95ce3fdc4ff30ba,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/sensory/light-requirements/,content/pages/light-requirements.json,735427ccd9e4c27b9aa59bec64887171fec5ad43e80658e6bad24b3b2c1bff60,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/behavior/unhappy-betta/,content/pages/unhappy-betta.json,3306aa94019a825c5a6bffd39f2978cbfe0eb295f2cc3ee6ab61f668f59e367e,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/anatomy/betta-fish-sleep/,content/pages/betta-fish-sleep.json,5242963ab8dbaaee8eb6fc23f9624a2f5a29071d3a02acb0e09ffacb4490da79,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/behavior/hearing-music/,content/pages/hearing-music.json,b3646fc8a159930c4f1165021fd6e8537ca1ec90d92aea21b9af48773b9872b1,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/behavior/flaring-triggers/,content/pages/flaring-triggers.json,6c24e3a35f268ec68b36d6767503abb80a75ae3aacdb5a301048b9687a65bc39,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/breeding/pairing-fry-care/,content/pages/pairing-fry-care.json,ef03e1219b50700d56b620ba6063e3622daa5bd89da63606f385307572abf548,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
/breeding/gender-identification/,content/pages/gender-identification.json,a800769f704e348852ddeec8ff4fff8467a97d15bf42af8f58e49e772de057b4,Kate Barrington,approved,2026-09-03,2026-09-03,reports/KATE-BARRINGTON-EDITORIAL-APPROVAL-2026-09-03.md,Exact hash approved; requested changes none
