asset_id,page_url,role,source_file,output_file,checksum,width,height,ratio,format,byte_size,alt,caption,description,credit,rights_status,focal_point,crop_policy,approved,status
site-logo,*,logo,assets/source/bettafish-website-logo.webp,public/assets/images/bettafish-website-logo.webp,969ef80537676a7be9786e8fb6a1fca3590fc097cf6bbbf094c5bb7aaea54240,128,128,1:1,webp,6720,Teal and blue BettaFish logo,,Teal blue and silver betta brand mark with a circular flowing-fin silhouette,Owner-created,owner-supplied,center,Use the clean cropped fish mark supplied by the owner; exclude the generator badge,true,approved
site-favicon,*,favicon,assets/source/bettafish-website-favicon.png,public/favicon.png,d57fa3512ff1418dfb2ddc5e15e4160e82ff49d03e97a291a3560350c08ec878,96,96,1:1,png,15614,BettaFish favicon,,Small-size teal and blue betta favicon derived from the owner-supplied mark,Owner-created,owner-supplied,center,Use the clean cropped fish mark supplied by the owner; exclude the generator badge,true,approved
home-hero,/,article-hero,assets/source/bettafish-website-home-hero.webp,public/assets/images/bettafish-website-home-hero.webp,f7f0c3f7a5643664ef14792c6e6c77bc9e84ec4566e4796c18811b862d71b573,1600,900,16:9,webp,80210,"Red white and blue koi-pattern betta swimming through a planted freshwater aquarium","Practical betta guidance begins with a stable environment and close observation of the fish.","Homepage hero showing one healthy koi-pattern Betta splendens in a naturalistic planted aquarium with open swimming space",Owner-created,owner-supplied,right,"Keep the complete fish and open water visible; preserve left-side negative space for responsive layouts; use 16:9 without forced crop",true,approved
care-hub-hero,/care/,hub-hero,assets/source/betta-care-hub-hero.webp,public/assets/images/betta-care-hub-hero.webp,3a410f3e094dbc285800b5ff09ef9133d30b91a208532bb872ff2d4da6dcec9c,1600,900,16:9,webp,116044,"Aquarist testing water beside a planted aquarium containing a yellow betta and sponge filter","Routine testing connects daily observation with measurable aquarium conditions.","Care hub hero showing a healthy yellow Betta splendens in a planted filtered aquarium while an aquarist checks a water sample",Owner-created,owner-supplied,center,"Keep the entire fish aquarium filter testing device and sample vial visible; use 16:9 without forced crop",true,approved
diseases-hub-hero,/diseases/,hub-hero,assets/source/betta-diseases-hub-hero.webp,public/assets/images/betta-diseases-hub-hero.webp,cb6417601541f487d4de2b8bb6db8392173d934361d4779ad0355fe47d2ab582,1600,900,16:9,webp,72908,"Aquatic veterinarian observing a blue betta in a planted aquarium beside a microscope","Careful observation and diagnostic context come before disease-specific treatment decisions.","Disease hub hero showing a calm aquatic veterinarian observing a healthy-appearing blue Betta splendens with a microscope nearby",Owner-created,owner-supplied,center,"Keep the veterinarian fish microscope and aquarium context visible; use 16:9 without forced crop",true,approved
compatibility-hub-hero,/compatibility/,hub-hero,assets/source/betta-compatibility-hub-hero.webp,public/assets/images/betta-compatibility-hub-hero.webp,75c2ed0c82d6c288c4660760011fed33839dce8cf97de341ebbd16cd0b679b5f,1600,900,16:9,webp,96106,"Blue betta and a small fish group housed in two visibly separate planted aquariums","Compatibility decisions require species research, adequate space and a reliable separation plan.","Welfare-first compatibility hub hero showing one turquoise-blue Betta splendens alone in a planted aquarium beside a physically separate aquarium containing a small peaceful fish group",Owner-created,owner-supplied,center,"Keep both complete aquariums separate and both waterlines visible; keep the betta prominent; use 16:9 without forced crop",true,approved
biology-hub-hero,/biology-genetics/,hub-hero,assets/source/betta-biology-genetics-hub-hero.webp,public/assets/images/betta-biology-genetics-hub-hero.webp,53c8d16bd04c95f3a0430f5de3f3404b6b3823e653d2d8c3894343c908a8ac00,1600,900,16:9,webp,89590,"Black and white dragon-scale betta shown in clear side profile","Domestic betta form color and pattern reflect a complex combination of ancestry and selective breeding.","Biology and genetics hub hero showing one anatomically credible black-and-white dragon-scale Betta splendens in profile",Owner-created,owner-supplied,center,"Keep the complete fish all fin edges and scale pattern visible; use 16:9 without forced crop",true,approved
water-parameters-hero,/care/water-parameters/,article-hero,assets/source/betta-water-parameters-hero.webp,public/assets/images/betta-water-parameters-hero.webp,466a73285697420121a94187b39a2f60977b224e3724ce4ed3230f4edad4b6b8,1600,900,16:9,webp,89854,"Green short-finned betta in a planted aquarium beside water-test tubes and thermometers","Stable measured conditions matter more than chasing one supposedly perfect reading.","Educational hero showing an emerald-green Plakat betta in a maintained aquarium with liquid water-test samples and temperature-monitoring tools",Owner-created,owner-supplied,center,"Keep the entire fish aquarium thermometer test tubes and digital thermometer visible; use 16:9 without forced crop",true,approved
diet-feeding-hero,/care/diet-feeding/,article-hero,assets/source/betta-diet-feeding-hero.webp,public/assets/images/betta-diet-feeding-hero.webp,c49e4dabde9459529d42196cbe9759dce84b2f8003b78fcb045d19094ed639d3,1600,900,16:9,webp,95636,"White and lavender betta approaching a measured portion of pellets offered with feeding tweezers","Measure the portion, observe the fish eating and remove food that remains uneaten.","Editorial feeding scene showing a white-and-lavender Dumbo Ear Betta splendens approaching two appropriately sized pellets with a small reserve portion outside the aquarium",Owner-created,owner-supplied,center,"Keep the complete fish feeding tweezers two offered pellets and outside portion dish visible; use 16:9 without forced crop",true,approved
filtration-hero,/care/filtration/,article-hero,assets/source/betta-filtration-hero.webp,public/assets/images/betta-filtration-hero.webp,6fd9537940c400128b609d36d6539a26ab40d894a9aa03c09ad42c3a8fde84e2,1600,900,16:9,webp,132548,"Red Crowntail betta swimming between a sponge filter and a protected hang-on-back filter intake","A suitable filter supports biological filtration without forcing a betta to fight strong current.","Technical care hero showing a red Crowntail Betta splendens in a planted aquarium with gentle sponge filtration and a hang-on-back filter fitted with a pre-filter sponge",Owner-created,owner-supplied,center,"Keep the entire fish both filter types protected intake and calm surface movement visible; use 16:9 without forced crop",true,approved
diagnostic-matrix-hero,/diseases/diagnostic-matrix/,article-hero,assets/source/betta-diagnostic-matrix-hero.webp,public/assets/images/betta-diagnostic-matrix-hero.webp,1e65bb2a8bf0dd7a7b88f4608408af258dcaff7f5ba2a729a0a21e0657dd6f85,1600,900,16:9,webp,58594,"Aquarist recording a pale lavender betta while documenting water tests and observations","A useful triage record combines clear images, a symptom timeline and current aquarium measurements.","Clinical-documentary hero showing a pale lavender short-finned betta in an observation aquarium while an aquarist records video and notes alongside test samples and a thermometer",Owner-created,owner-supplied,center,"Keep the entire fish phone recording view test samples thermometer and notebook visible; use 16:9 without forced crop",true,approved
fin-rot-hero,/diseases/fin-rot/,article-hero,assets/source/betta-fin-damage-photo-monitoring.webp,public/assets/images/betta-fin-damage-photo-monitoring.webp,b25932a24a1365dd212cf5a5a84824b308ceebede23af571915545afd7a0892c,1600,900,16:9,webp,73198,"Golden-orange betta with mildly irregular fin edges beside a comparison photograph and water tests","Dated photographs and current water measurements help distinguish stable damage from continuing tissue loss.","Clinical-documentary hero showing a golden-orange Veiltail betta with subtle non-graphic fin-edge damage beside a phone comparison photograph thermometer and liquid water tests",Owner-created,owner-supplied,center,"Keep the entire fish fin margins phone comparison thermometer and test tubes visible; use 16:9 without forced crop",true,approved
ich-treatment-hero,/diseases/ich-treatment/,article-hero,assets/source/suspected-betta-ich-vet-exam.webp,public/assets/images/suspected-betta-ich-vet-exam.webp,d8ee6a4514416f1b5bdd398e846c9cc71b4c7718b2503202f7db6c3d0f7fbf44,1600,900,16:9,webp,63846,"Aquatic veterinarian observing a dark-blue betta with several small white spots beside a microscope","White spots can raise concern for ich but do not replace case-specific diagnostic assessment.","Clinical-documentary hero showing a dark navy short-finned Betta splendens with discrete white spots in a heated observation aquarium beside an aquatic veterinarian microscope and gentle aeration",Owner-created,owner-supplied,right,"Keep the entire fish visible with spots subtle and non-graphic; preserve the veterinarian microscope heater and aeration context; use 16:9 without forced crop",true,approved
