source_id,source_file,source_type,coverage,status,last_verified,notes
SRC-001,docs/source/master-betta-site-package.md,compiled-draft,"Initial shell and ten article drafts",requires-claim-audit,2026-08-31,"Legacy MyBettaCare.com identity and Burlington claims must not be imported"
SRC-002,docs/governance/authority-site-prepublication-operating-system.md,governance,"Prepublication phases and release controls",approved,2026-08-31,"Authoritative workflow"
SRC-003,docs/governance/authority-site-launch-gates.csv,governance,"Hard gates G00-G15",approved,2026-08-31,"Hard blockers override aggregate scores"
SRC-004,docs/governance/myaxolotl-retrospective.md,retrospective,"Observed failure modes and preventive controls",approved,2026-08-31,"Use for regression prevention"
SRC-005,docs/research/Master_Keyword_Data.xlsx,keyword-research,"Keyword, competitor, PAA, LSI, planner and SERP evidence",reviewed,2026-08-31,"US-first dataset; volume formats require normalization"
SRC-006,docs/research/clusterd topics.xlsx,keyword-clusters,"Cluster groupings and aggregate demand",reviewed,2026-08-31,"Requires intent and cannibalization review before URL assignment"
SRC-007,docs/research/betta-fish_mindmap_2026-08-31.png,visual-research,"SEMrush topic relationships",reviewed,2026-08-31,"Reference only; visible export is cropped at multiple outer labels"
SRC-008,https://www.katebarrington.com/,public-profile,"Kate Barrington writing experience; pet specialization; selected clients and aquarium portfolio samples",verified,2026-09-01,"Primary professional website supplied by the owner"
SRC-009,https://www.ratemyfishtank.com/articles/authors/3,public-profile,"Kate Barrington freshwater and saltwater aquarium writing history",verified,2026-09-01,"Supporting aquarium author profile"
SRC-010,https://farrukh.top/,public-profile,"Farrukh Abdullah professional identity and content-architecture background",owner-supplied,2026-09-01,"Linked from the internal author profile"
SRC-011,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/management-of-aquarium-fish,veterinary-manual,"Fish physiology, water quality and aquarium management",verified,2026-09-01,"Merck Veterinary Manual professional article; reviewed by veterinary specialists"
SRC-012,https://www.merckvetmanual.com/all-other-pets/fish/providing-a-home-for-fish,veterinary-manual,"Tap-water treatment, beneficial bacteria and nitrogen-cycle management",verified,2026-09-01,"Merck Veterinary Manual pet-owner article"
SRC-013,https://www.petmd.com/fish/betta-fish-care-sheet,veterinary-reviewed-care-sheet,"Betta temperature, pH, filtration and maintenance ranges",verified,2026-09-01,"Current veterinary-reviewed species care sheet"
SRC-014,https://www.petmd.com/fish/care/betta-fish-facts,veterinary-reviewed-care-sheet,"Betta diet composition, feeding frequency and overfeeding caution",verified,2026-09-01,"Current article written by a veterinarian"
SRC-015,https://www.petmd.com/fish/conditions/systemic/new-tank-syndrome-fish,veterinary-reviewed-health-guide,"Ammonia and nitrite response, conditioned water and cycling monitoring",verified,2026-09-01,"Used for water-quality safety boundaries, not individualized diagnosis"
SRC-016,https://www.petmd.com/fish/care/evr_fi_how-to-care-of-fish,veterinary-reviewed-care-guide,"General filtration, feeding and water-change guidance",verified,2026-09-01,"General fish guidance used only where species-specific guidance is unavailable"
SRC-017,https://vetmed.illinois.edu/pet-health-columns/betta-fish/,veterinary-school-guidance,"Betta housing, filtration, temperature, decor and nutrition",verified,2026-09-01,"University of Illinois College of Veterinary Medicine guidance from a zoological-medicine specialist"
SRC-018,https://www.ibcbettas.org/memberhome/standards/,primary-standards,"Current exhibition standards and recognized domesticated betta forms",verified,2026-09-01,"International Betta Congress standards landing page; standards update annually"
SRC-019,https://pmc.ncbi.nlm.nih.gov/articles/PMC8321530/,peer-reviewed-research,"Genomic basis of ornamental fin forms and double-tail development",verified,2026-09-01,"Molecular Biology and Evolution research article"
SRC-020,https://pmc.ncbi.nlm.nih.gov/articles/PMC9491723/,peer-reviewed-research,"Genetic architecture of phenotypic diversity in domesticated bettas",verified,2026-09-01,"Science Advances research article"
