url,page_type,status,parent_hub,primary_intent,primary_query,central_entity,unique_promise,excluded_scope,canonical_owner,author,reviewer,risk_class,freshness_class,hero_asset_id,schema_types,source_file,output_file
/,homepage,approved,,navigate,betta fish care guide,Betta splendens,"Orient new keepers through a safe care journey and topic map","Detailed treatment instructions",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,home-hero,"WebSite|Organization|WebPage",content/pages/home.json,public/index.html
/care/,hub,approved,/,learn,betta fish care,Betta splendens,"Sequence habitat, water, filtration and feeding decisions","Disease diagnosis and treatment",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,care-hub-hero,"CollectionPage|BreadcrumbList",content/pages/care-hub.json,public/care/index.html
/care/water-parameters/,article,approved,/care/,learn,betta fish water parameters,Aquarium water,"Explain stable temperature, pH, hardness and nitrogen-cycle requirements","Disease treatment protocols",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,water-parameters-hero,"Article|FAQPage|BreadcrumbList",content/pages/water-parameters.json,public/care/water-parameters/index.html
/care/diet-feeding/,article,approved,/care/,act,what do betta fish eat,Betta diet,"Give a practical feeding pattern with portions and food types","Disease-specific therapeutic feeding",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,diet-feeding-hero,"Article|FAQPage|BreadcrumbList",content/pages/diet-feeding.json,public/care/diet-feeding/index.html
/care/filtration/,article,approved,/care/,decide,best filter for betta fish,Aquarium filtration,"Choose and maintain a safe low-flow filter","General tank-product roundups",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,filtration-hero,"Article|FAQPage|BreadcrumbList",content/pages/filtration.json,public/care/filtration/index.html
/diseases/,hub,approved,/,diagnose,betta fish diseases,Betta health,"Route symptoms safely without presenting the site as veterinary diagnosis","Routine tank setup",yes,Farrukh Abdullah,Kate Barrington,high-risk-pet-health,monthly,diseases-hub-hero,"CollectionPage|BreadcrumbList",content/pages/diseases-hub.json,public/diseases/index.html
/diseases/diagnostic-matrix/,article,approved,/diseases/,diagnose,betta fish diseases symptoms,Betta health,"Provide symptom-first triage and escalation boundaries","Definitive diagnosis or individualized treatment",yes,Farrukh Abdullah,Kate Barrington,high-risk-pet-health,monthly,diagnostic-matrix-hero,"Article|FAQPage|BreadcrumbList",content/pages/diagnostic-matrix.json,public/diseases/diagnostic-matrix/index.html
/diseases/fin-rot/,article,approved,/diseases/,act,betta fin rot treatment,Fin deterioration,"Distinguish environmental correction from treatment escalation","Guaranteed cure claims",yes,Farrukh Abdullah,Kate Barrington,high-risk-pet-health,monthly,fin-rot-hero,"Article|FAQPage|BreadcrumbList",content/pages/fin-rot.json,public/diseases/fin-rot/index.html
/diseases/ich-treatment/,article,approved,/diseases/,act,betta ich treatment,Ichthyophthirius multifiliis,"Explain identification, lifecycle and safe escalation","Veterinary diagnosis or unsafe dosing",yes,Farrukh Abdullah,Kate Barrington,high-risk-pet-health,monthly,ich-treatment-hero,"Article|FAQPage|BreadcrumbList",content/pages/ich-treatment.json,public/diseases/ich-treatment/index.html
/compatibility/,hub,approved,/,decide,betta fish tank mates,Betta social compatibility,"Help keepers assess compatibility and prepare a separation plan","Fish purchase listings",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,compatibility-hub-hero,"CollectionPage|BreadcrumbList",content/pages/compatibility-hub.json,public/compatibility/index.html
/compatibility/tank-mates/,article,approved,/compatibility/,decide,best betta fish tank mates,Community aquarium,"Compare companion risks by behaviour and habitat needs","Female sorority setup",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,tank-mates-hero,"Article|FAQPage|BreadcrumbList",content/pages/tank-mates.json,public/compatibility/tank-mates/index.html
/compatibility/female-sorority/,article,approved,/compatibility/,decide,can female bettas live together,Female betta sorority,"Explain the high-risk conditions and failure signs of sorority attempts","Male cohabitation",yes,Farrukh Abdullah,Kate Barrington,high-risk-pet-health,quarterly,female-sorority-hero,"Article|FAQPage|BreadcrumbList",content/pages/female-sorority.json,public/compatibility/female-sorority/index.html
/biology-genetics/,hub,approved,/,learn,betta fish biology,Betta splendens biology,"Connect lifespan, morphology and behaviour to practical care","Disease-treatment protocols",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,biology-hub-hero,"CollectionPage|BreadcrumbList",content/pages/biology-hub.json,public/biology-genetics/index.html
/biology-genetics/lifespan/,article,approved,/biology-genetics/,learn,how long do betta fish live,Betta lifespan,"Explain realistic lifespan ranges and controllable care factors","Guaranteed longevity claims",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,yearly,lifespan-hero,"Article|FAQPage|BreadcrumbList",content/pages/lifespan.json,public/biology-genetics/lifespan/index.html
/biology-genetics/tail-types/,article,approved,/biology-genetics/,compare,betta fish tail types,Betta morphology,"Compare fin shapes while connecting morphology to welfare needs","Sales listings and price claims",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,tail-types-hero,"Article|FAQPage|BreadcrumbList",content/pages/tail-types.json,public/biology-genetics/tail-types/index.html
/about/,trust,approved,/,trust,about bettafish.website,BettaFish.website,"State the site's purpose, limits and evidence model without inflated credentials","Unverified staff credentials or office claims",yes,,,ordinary,yearly,,"AboutPage|Organization|BreadcrumbList",content/pages/about.json,public/about/index.html
/contact/,trust,approved,/,contact,contact bettafish.website,BettaFish.website,"Provide a verified editorial contact channel","Invented address, phone or inactive mailbox",yes,,,ordinary,yearly,,"ContactPage|BreadcrumbList",content/pages/contact.json,public/contact/index.html
/editorial-policy/,trust,approved,/,trust,editorial policy,BettaFish.website,"Explain sourcing, review, AI assistance and content boundaries","Claims that every page has already received expert review",yes,,,ordinary,yearly,,"WebPage|BreadcrumbList",content/pages/editorial-policy.json,public/editorial-policy/index.html
/corrections-policy/,trust,approved,/,trust,corrections policy,BettaFish.website,"Explain how readers can report and how corrections are recorded","Guaranteed response times",yes,,,ordinary,yearly,,"WebPage|BreadcrumbList",content/pages/corrections-policy.json,public/corrections-policy/index.html
/privacy-policy/,trust,approved,/,trust,privacy policy,BettaFish.website,"Describe only the data actually collected in the static preview","Undeclared analytics, cookies or advertising",yes,,,privacy,quarterly,,"PrivacyPolicy|BreadcrumbList",content/pages/privacy-policy.json,public/privacy-policy/index.html
/terms/,trust,approved,/,trust,terms of use,BettaFish.website,"Set educational-use, accuracy and external-link limits","Waivers inconsistent with applicable law",yes,,,legal,yearly,,"WebPage|BreadcrumbList",content/pages/terms.json,public/terms/index.html
/disclosure/,trust,approved,/,trust,affiliate and advertising disclosure,BettaFish.website,"Disclose that no affiliate relationships are active in the foundation build","Undisclosed monetization",yes,,,ordinary,quarterly,,"WebPage|BreadcrumbList",content/pages/disclosure.json,public/disclosure/index.html
/health-disclaimer/,trust,approved,/,trust,betta health disclaimer,BettaFish.website,"Define educational limits and escalation to aquatic veterinary help","Individual diagnosis or treatment guarantees",yes,,,high-risk-pet-health,quarterly,,"WebPage|BreadcrumbList",content/pages/health-disclaimer.json,public/health-disclaimer/index.html
/authors/farrukh-abdullah/,profile,approved,/about/,trust,Farrukh Abdullah BettaFish.website,Farrukh Abdullah,"Document the research and writing role with honest scope limits","Aquatic-veterinary or husbandry credentials not held",yes,Farrukh Abdullah,,ordinary,yearly,,"ProfilePage|Person|BreadcrumbList",content/pages/author-farrukh-abdullah.json,public/authors/farrukh-abdullah/index.html
/editors/kate-barrington/,profile,approved,/about/,trust,Kate Barrington aquarium editor,Kate Barrington,"Document the review and editing role with externally supported experience","Veterinary review or individualized diagnosis",yes,,Kate Barrington,ordinary,yearly,,"ProfilePage|Person|BreadcrumbList",content/pages/editor-kate-barrington.json,public/editors/kate-barrington/index.html
/reviewers/robert-martinez/,profile,approved,/about/,trust,Robert Martinez aquatic veterinarian,Robert Martinez,"Document the assigned clinical-review role with externally supported credentials","Claiming review of a page without recorded approval",yes,,,high-risk-pet-health,yearly,,"ProfilePage|Person|BreadcrumbList",content/pages/reviewer-robert-martinez.json,public/reviewers/robert-martinez/index.html
/care/tank-setup/,article,approved,/care/,act,betta fish tank setup,Betta aquarium,"Sequence a safe first aquarium setup from cycling through introduction","Disease diagnosis and product rankings",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,tank-setup-hero,"Article|FAQPage|BreadcrumbList",content/pages/tank-setup.json,public/care/tank-setup/index.html
/maintenance/water-change/,article,approved,/care/,act,betta fish water change,Aquarium maintenance,"Match water-change size and frequency to test results and tank conditions","Universal emergency water-change instructions",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,water-change-hero,"Article|FAQPage|BreadcrumbList",content/pages/water-change.json,public/maintenance/water-change/index.html
/care/indian-almond-leaves/,article,approved,/care/,evaluate,indian almond leaves for betta,Terminalia catappa leaves,"Separate supported husbandry uses from cure claims and dosing folklore","Disease-cure promises",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,indian-almond-leaves-hero,"Article|FAQPage|BreadcrumbList",content/pages/indian-almond-leaves.json,public/care/indian-almond-leaves/index.html
/care/heaters-calibration/,article,approved,/care/,act,betta fish heater calibration,Aquarium heater,"Calibrate and monitor stable aquarium temperature without relying on dial markings","Electrical repair and product rankings",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,heaters-calibration-hero,"Article|FAQPage|BreadcrumbList",content/pages/heaters-calibration.json,public/care/heaters-calibration/index.html
/aquascaping/fin-safe-plants/,article,approved,/care/,decide,fin safe plants for betta,Aquatic plants,"Choose live or artificial plants by surface texture placement and care demands","Guaranteed injury prevention",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,yearly,fin-safe-plants-hero,"Article|FAQPage|BreadcrumbList",content/pages/fin-safe-plants.json,public/aquascaping/fin-safe-plants/index.html
/sensory/light-requirements/,article,approved,/care/,learn,betta fish light requirements,Aquarium lighting,"Explain a practical light-dark cycle with algae and stress tradeoffs","Disease treatment and lamp product rankings",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,yearly,light-requirements-hero,"Article|FAQPage|BreadcrumbList",content/pages/light-requirements.json,public/sensory/light-requirements/index.html
/diseases/dropsy-treatment/,article,approved,/diseases/,diagnose,betta fish dropsy treatment,Dropsy signs,"Explain the symptom cluster urgency and veterinarian-led escalation boundary","Definitive diagnosis universal dosing or guaranteed cure",yes,Farrukh Abdullah,"Robert Martinez, DVM",high-risk-pet-health,monthly,dropsy-treatment-hero,"Article|FAQPage|BreadcrumbList",content/pages/dropsy-treatment.json,public/diseases/dropsy-treatment/index.html
/diseases/velvet-treatment/,article,approved,/diseases/,diagnose,betta fish velvet treatment,Piscinoodinium infection,"Distinguish suspected velvet signs from lookalikes and define safe escalation","Definitive diagnosis universal dosing or guaranteed cure",yes,Farrukh Abdullah,"Robert Martinez, DVM",high-risk-pet-health,monthly,velvet-treatment-hero,"Article|FAQPage|BreadcrumbList",content/pages/velvet-treatment.json,public/diseases/velvet-treatment/index.html
/diseases/columnaris-treatment/,article,approved,/diseases/,diagnose,betta fish columnaris treatment,Columnaris disease,"Explain urgent recognition environmental correction and clinical escalation","Definitive diagnosis universal dosing or guaranteed cure",yes,Farrukh Abdullah,"Robert Martinez, DVM",high-risk-pet-health,monthly,columnaris-treatment-hero,"Article|FAQPage|BreadcrumbList",content/pages/columnaris-treatment.json,public/diseases/columnaris-treatment/index.html
/anatomy/swim-bladder-treatment/,article,approved,/diseases/,diagnose,betta fish swim bladder treatment,Buoyancy disorder,"Use symptom-first triage to separate husbandry checks from veterinary assessment","Assuming one cause universal fasting or guaranteed cure",yes,Farrukh Abdullah,"Robert Martinez, DVM",high-risk-pet-health,monthly,swim-bladder-treatment-hero,"Article|FAQPage|BreadcrumbList",content/pages/swim-bladder-treatment.json,public/anatomy/swim-bladder-treatment/index.html
/behavior/unhappy-betta/,article,approved,/biology-genetics/,diagnose,signs of an unhappy betta,Betta welfare,"Translate behavior changes into observable husbandry checks and escalation signs","Diagnosing emotion or disease from one behavior",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,unhappy-betta-hero,"Article|FAQPage|BreadcrumbList",content/pages/unhappy-betta.json,public/behavior/unhappy-betta/index.html
