"query","search interest","increase percent"
"betta tank",100,"20%"
"fish tank",98,"20%"
"betta fish tank",98,"10%"
"betta fish water",35,"5%"
"female betta fish",26,"20%"
"betta fish female",26,"20%"
"aquarium fish",25,"30%"
"betta fish aquarium",25,"30%"
"aquarium",25,"20%"
"beta",24,"10%"
"beta fish",21,"5%"
"male betta fish",21,"-1%"
"betta fish food",19,"8%"
"betta fish for sale",14,"-3%"
"betta fish care",14,"-40%"
"white betta fish",13,"10%"
"blue betta fish",12,"20%"
"betta fish price",12,"130%"
"betta fish blue",12,"20%"
"pet fish",11,"1%"
"betta fish plants",11,"30%"
"betta fish temperature",10,"20%"
"black betta fish",9,"20%"
"red betta fish",9,"10%"
"betta fish size",9,"50%"
"betta fish near me",9,"40%"
"goldfish",9,"-20%"
"petsmart",9,"-9%"
"betta fish lifespan",8,"40%"
"best betta fish tank",8,"40%"
"how long do betta fish live",8,"7%"
"petsmart betta fish",8,"-10%"
"beta fish tank",7,"40%"
"tetra fish",7,"1%"
"betta fish names",7,"-20%"
"koi fish",7,"40%"
"koi betta fish",7,"40%"
"betta fish types",7,"-20%"
"fish names",7,"-20%"
"koi betta",7,"40%"
"5 gallon tank",6,"50%"
"plants for betta fish",6,"40%"
"betta fish tank size",6,"50%"
"petco",6,"-20%"
"guppy fish",6,"30%"
"5 gallon fish tank",6,"40%"
"betta fish online",6,"10%"
"petco betta fish",6,"-30%"
"guppies",6,"10%"
"guppy",6,"30%"
