"query","search interest","increase percent"
"why is my betta fish staying at the bottom of the tank",0,"350%"
"why is my betta fish staying at the top of the tank",0,"300%"
"pygmy corydoras",0,"250%"
"alien betta fish",1,"180%"
"why does my betta fish stay at the bottom of the tank",0,"180%"
"corydoras catfish",1,"180%"
"corydoras",2,"150%"
"betta fish price",12,"130%"
"amano shrimp",1,"90%"
"20 gallon fish tank",2,"90%"
"full moon betta fish",2,"80%"
"cherry shrimp",1,"80%"
"best plants for betta fish",2,"80%"
"axolotl",1,"80%"
"betta fish price in india",1,"80%"
"pink betta fish",3,"70%"
"easiest fish to take care of",1,"70%"
"green betta fish",4,"60%"
"angel fish",2,"60%"
"5 gallon tank",6,"50%"
"betta fish tank size",6,"50%"
"3 gallon fish tank",2,"50%"
"java fern",1,"50%"
"betta fish size",9,"50%"
"why is my betta fish not eating",1,"50%"
"how long can betta fish go without food",1,"50%"
"plants for betta fish",6,"40%"
"live plants for betta fish",2,"40%"
"betta fish tank setup",2,"40%"
"gold fish",4,"40%"
"5 gallon fish tank",6,"40%"
"koi betta",7,"40%"
"betta fish for sale near me",1,"40%"
"best betta fish tank",8,"40%"
"ph for betta fish",2,"40%"
"koi betta fish",7,"40%"
"best food for betta fish",2,"40%"
"betta fish lifespan",8,"40%"
"tetras",5,"40%"
"koi fish",7,"40%"
"can betta fish live together",5,"40%"
"clownfish",1,"40%"
"betta fish near me",9,"40%"
"why did my betta fish die",1,"40%"
"beta fish tank",7,"40%"
"10 gallon fish tank",5,"40%"
"plakat betta fish",2,"30%"
"what fish can live with a betta",3,"30%"
"do betta fish need a filter",2,"30%"
"guppy",6,"30%"
